"ID","DOT_WEB_ID","CASE_NUMBER","CRASH_YEAR","COUNTY","MUNICIPALITY","CRASH_DATE","CRASH_DAY_OF_WEEK","CRASH_MONTH","CRASH_TIME","POLICE_DEPT_CODE","POLICE_DEPARTMENT","POLICE_STATION","TOTAL_KILLED","TOTAL_INCAPACITATED","TOTAL_INJURED","PEDESTRIANS_KILLED","PEDESTRIANS_INJURED","SEVERITY","INTERSECTION","ALCOHOL_INVOLVED","HAZMAT_INVOLVED","CRASH_TYPE","TOTAL_VEHICLES_INVOLVED","CRASH_LOCATION","LOCATION_DIRECTION","ROUTE","ROUTE_SUFFIX","SRI","MILEPOST","ROAD_SYSTEM","ROAD_CHARACTER","ROAD_SURFACE_TYPE","SURFACE_CONDITION","LIGHT_CONDITION","ENVIRONMENTAL_CONDITION","ROAD_DIVIDED_BY","TEMP_TRAFFIC_CONTROL_ZONE","DISTANCE_TO_CROSS_STREET","UNIT_OF_MEASUREMENT","DIRECTION_FROM_CROSS_STREET","CROSS_STREET_NAME","IS_RAMP","RAMP_TO_FROM_ROUTE_NAME","RAMP_TO_FROM_ROUTE_DIRECTION","POSTED_SPEED","POSTED_SPEED_CROSS_STREET","LATITUDE","LONGITUDE","CELL_PHONE_IN_USE","OTHER_PROPERTY_DAMAGE","REPORTING_BADGE_NO","X","Y","CRASH_NARRATIVE","MPO","TOTAL_PEDESTRIANS_INVOLVED","EPDO","DLN","LatitudeGeocoded","LongitudeGeocoded"
3447704,"2010111110001818","10001818",2010,"MERCER","Trenton City","2010-02-04","Thursday","February","15:01:00",1,"TRENTON PD","PATROL",0,0,1,0,1,"Injury","At Intersection","No","No","Pedestrian",1,"W LAFAYETTE ST","NULL",NA,"","11111550",0.24,"Municipal","Straight and Level","Blacktop","Dry","Daylight","Clear","None","None",NA,"At","NULL","BARRACK ST","NULL","","NULL",NA,NA,0,0,"No","","445",417136.780075,504814.61986,NA,"DVRPC",1,"Pain",10021120,40.2190455,-74.7685256
3447746,"2010111110002021","10002021",2010,"MERCER","Trenton City","2010-02-08","Monday","February","16:04:00",1,"TRENTON PD","PATROL",0,0,1,0,1,"Injury","Not At Intersection","No","No","Pedestrian",1,"OAKLAND ST","North",NA,"","11111565",0.48,"Municipal","Straight and Level","Blacktop","Snowy","Daylight","Clear","None","None",100,"Foot","North","HOFFMAN AVE","NULL","","NULL",25,25,0,0,"No","","135",414286.805319,511403.669892,NA,"DVRPC",2,"Pain",10027871,40.237075,-74.778799
3447859,"2010111110002590","10002590",2010,"MERCER","Trenton City","2010-02-19","Friday","February","18:32:00",1,"TRENTON PD","EAST DISTRICT",0,0,1,0,1,"Injury","At Intersection","No","No","Pedestrian",1,"MERCER COUNTY 606","East",606,"","11000606",1.31,"County","Straight and Level","Blacktop","Wet","Dark (Street Lights On/ continuous)","Clear","None","None",NA,"At","NULL","PARK AVE","NULL","","NULL",25,25,40.219,-74.73547,"No","","565",426371.408738,504777.336675,NA,"DVRPC",1,"Pain",10032323,40.2189716,-74.735583
3447894,"2010111110002871","10002871",2010,"MERCER","Trenton City","2010-02-24","Wednesday","February","17:16:00",1,"TRENTON PD","PATROL-EAST",0,0,1,0,1,"Injury","At Intersection","No","No","Pedestrian",1,"MORRIS AVE","NULL",NA,"","",NA,"Municipal","Straight and Level","Blacktop","Dry","Daylight","Clear","None","None",NA,"At","NULL","WINTON ALY","NULL","","NULL",25,15,0,0,"No","","498",NA,NA,NA,"DVRPC",1,"Pain",10038634,40.209605,-74.74539
3447996,"2010111110003534","10003534",2010,"MERCER","Trenton City","2010-03-08","Monday","March","18:38:00",1,"TRENTON PD","WEST",0,0,1,0,1,"Injury","Not At Intersection","No","No","Pedestrian",1,"PROSPECT ST","NULL",NA,"","11111562",0.35,"Municipal","Straight and Level","Blacktop","Dry","Dark (Street Lights On/ continuous)","Clear","None","None",25,"Foot","NULL","RUTHERFORD AVE","NULL","","NULL",25,25,40.22997,-74.7747,"No","","626",415428.034988,508802.438973,NA,"DVRPC",1,"Pain",10046577,40.2297804,-74.7748185
3448059,"2010111110004003","10004003",2010,"MERCER","Trenton City","2010-03-16","Tuesday","March","20:40:00",1,"TRENTON PD","NORTH PATROL",0,0,0,0,0,"Property Damage","At Intersection","No","No","Pedalcyclist",1,"PERRY ST","East",NA,"","11111556",0.6,"Municipal","Straight and Level","Blacktop","Dry","Daylight","Clear","Painted Median","None",NA,"At","NULL","SOUTHARD ST","NULL","","NULL",25,25,40.22551,-74.75459,"No","","608",421038.98,507162.21,NA,"DVRPC",1,"PDO",10053518,40.2254692,-74.754728
3448076,"2010111110004141","10004141",2010,"MERCER","Trenton City","2010-03-18","Thursday","March","18:03:00",1,"TRENTON PD","EAST/PATROL",0,0,1,0,1,"Injury","Not At Intersection","No","No","Pedestrian",1,"ROEBLING AVE","East",NA,"","11111538",0.09,"Municipal","Straight and Level","Blacktop","Dry","Daylight","Clear","None","None",NA,"NULL","NULL","WASHINGTON ST","NULL","","NULL",25,25,40.21217,-74.74127,"No","","565",424745.959983,502291.466657,NA,"DVRPC",1,"Pain",10053534,40.21213,-74.741361
3448080,"2010111110004154","10004154",2010,"MERCER","Trenton City","2010-03-18","Thursday","March","23:12:00",1,"TRENTON PD","PATROL/EAST",0,0,1,0,1,"Injury","At Intersection","No","No","Pedestrian",1,"MERCER COUNTY 606","East",606,"","11000606",0.8,"County","Straight and Level","Blacktop","Dry","Dark (Street Lights On/ continuous)","Clear","None","None",NA,"At","NULL","ANDERSON ST","NULL","","NULL",25,25,40.21659,-74.74464,"No","BIKE THOMAS L TARD 284 RUTHERFORD AVE TRENTON NJ 08609","617",423807.333538,503905.384368,NA,"DVRPC",1,"Pain",10053531,40.2086695,-74.741889
3448099,"2010111110004266","10004266",2010,"MERCER","Trenton City","2010-03-20","Saturday","March","12:26:00",1,"TRENTON PD","NORTH-PATROL",0,0,1,0,1,"Injury","At Intersection","No","No","Pedestrian",1,"N MONTGOMERY ST","NULL",NA,"","11111557",0.24,"Municipal","Straight and Level","Blacktop","Dry","Daylight","Clear","None","None",NA,"At","NULL","PERRY ST","NULL","","NULL",25,25,0,0,"No","","518",418820.769851,506351.048093,NA,"DVRPC",1,"Pain",10053828,40.223243,-74.762526
3448110,"2010111110004300","10004300",2010,"MERCER","Trenton City","2010-03-20","Saturday","March","22:00:00",1,"TRENTON PD","WEST",0,0,2,0,1,"Injury","Not At Intersection","No","No","Pedestrian",1,"STUYVESANT AVE","North",NA,"","11111568",0.23,"Municipal","Straight and Level","Blacktop","Dry","Dark (Street Lights On/ continuous)","Clear","None","None",NA,"NULL","NULL","EXTON AVE","NULL","","NULL",25,25,40.23277,-74.77772,"No","","625",414590.265289,509825.456952,NA,"DVRPC",1,"Moderate Injury",10053838,40.2328179,-74.7777872
3448116,"2010111110004341","10004341",2010,"MERCER","Trenton City","2010-03-27","Saturday","March","18:54:00",1,"TRENTON PD","PATROL-EAST",0,0,0,0,0,"Property Damage","Not At Intersection","No","No","NULL",2,"RUSLING ST","East",NA,"","11111167",0.31,"Municipal","NULL","NULL","NULL","NULL","NULL","NULL","NULL",NA,"NULL","NULL","CHESTNUT AVE","NULL","","NULL",NA,NA,0,0,"No","","541",423524.177283,500573.910727,NA,"DVRPC",1,"PDO",10064974,40.207446,-74.745491
3448189,"2010111110004807","10004807",2010,"MERCER","Trenton City","2010-03-30","Tuesday","March","07:56:00",1,"TRENTON PD","PATROL/SOUTH",0,0,1,0,1,"Injury","At Intersection","No","No","Pedestrian",1,"W STATE ST","South",NA,"","11111552",2.19,"Municipal","Straight and Level","Blacktop","Wet","Daylight","Rain","Painted Median","None",NA,"At","NULL","N WILLOW ST","NULL","","NULL",25,25,40.22051,-74.76802,"No","","445",417284.828884,505350.825659,NA,"DVRPC",1,"Pain",10065470,40.220514,-74.7680681
3448197,"2010111110004837","10004837",2010,"MERCER","Trenton City","2010-03-30","Tuesday","March","15:46:00",1,"TRENTON PD","PATROL/EAST",0,0,1,0,1,"Injury","At Intersection","No","No","Pedestrian",1,"E STATE ST","East",NA,"","11111547",0.34,"Municipal","Straight and Level","Blacktop","Wet","Daylight","Rain","Painted Median","None",NA,"At","NULL","N CLINTON AVE","NULL","","NULL",25,25,40.22109,-74.75545,"No","","531",420795.18,505554.77,NA,"DVRPC",1,"Moderate Injury",10065466,40.221098,-74.755444
3448199,"2010111110004840","10004840",2010,"MERCER","Trenton City","2010-03-30","Tuesday","March","16:23:00",1,"TRENTON PD","SOUTH-PATROL",0,0,1,0,1,"Injury","At Intersection","No","No","Pedestrian",1,"BEATTY ST","South",NA,"","11111577",0.55,"Municipal","Straight and Level","Blacktop","Wet","Daylight","Rain","None","NULL",NA,"At","NULL","SMITH ST","NULL","","NULL",25,25,0,0,"No","","465",422312.120118,498526.639982,NA,"DVRPC",1,"Pain",10065459,40.20182,-74.749929
3448295,"2010111110005357","10005357",2010,"MERCER","Trenton City","2010-04-08","Thursday","April","20:05:00",1,"TRENTON PD","EAST",0,0,0,0,0,"Property Damage","At Intersection","No","No","Pedestrian",1,"ROEBLING AVE","West",NA,"","11111538",0.18,"Municipal","Straight and Level","Blacktop","Dry","Daylight","Clear","Painted Median","None",NA,"At","NULL","ANDERSON ST","NULL","","NULL",25,25,0,0,"No","","596",424291.372067,502139.747884,NA,"DVRPC",1,"PDO",10071229,40.211733,-74.742987
3448369,"2010111110005821","10005821",2010,"MERCER","Trenton City","2010-04-16","Friday","April","14:37:00",1,"TRENTON PD","NORTH",0,0,0,0,0,"Property Damage","At Intersection","No","No","Pedestrian",1,"N BROAD ST","North",NA,"","",NA,"Municipal","Straight and Level","Blacktop","Dry","Daylight","Clear","None","None",NA,"At","NULL","E HANOVER ST","NULL","","NULL",25,25,0,0,"No","","053",NA,NA,NA,"DVRPC",1,"PDO",10078054,40.2209771,-74.7642482
3448373,"2010111110005843","10005843",2010,"MERCER","Trenton City","2010-04-16","Friday","April","20:37:00",1,"TRENTON PD","",0,0,1,0,1,"Injury","At Intersection","No","No","Pedestrian",1,"CASS ST","NULL",NA,"","11111527",0.4,"Municipal","Straight and Level","Blacktop","Wet","Dark (Street Lights On/ continuous)","Rain","Painted Median","None",NA,"At","NULL","HANCOCK ST","NULL","","NULL",25,25,0,0,"No","","624",421410.751457,500131.986528,NA,"DVRPC",2,"Pain",10078050,40.2062628,-74.7529339
3448384,"2010111110005894","10005894",2010,"MERCER","Trenton City","2010-04-17","Saturday","April","21:04:00",1,"TRENTON PD","WEST",0,0,1,0,0,"Injury","Not At Intersection","No","No","Pedestrian",1,"OAKLAND ST","South",NA,"","11111565",0.48,"Municipal","Straight and Level","Blacktop","Dry","Dark (Street Lights On/ continuous)","Clear","None","None",NA,"NULL","NULL","HOFFMAN AVE","NULL","","NULL",25,25,0,0,"No","","595",414286.805319,511403.669892,NA,"DVRPC",1,"Pain",10078039,40.237075,-74.778799
3448395,"2010111110006003","10006003",2010,"MERCER","Trenton City","2010-04-19","Monday","April","17:27:00",1,"TRENTON PD","EAST/PATROL",0,0,1,0,1,"Injury","At Intersection","No","No","Pedestrian",1,"CHESTNUT AVE","South",NA,"","11111537",0.79,"Municipal","Straight and Level","Blacktop","Dry","Dark (Street Lights On/ continuous)","Clear","None","None",NA,"At","NULL","ROEBLING AVE","NULL","","NULL",25,25,0,0,"No","","595",423309.916055,501818.236089,NA,"DVRPC",1,"Moderate Injury",10077897,40.210934,-74.74643
3448503,"2010111110006566","10006566",2010,"MERCER","Trenton City","2010-04-30","Friday","April","03:15:00",1,"TRENTON PD","SOUTH",0,0,1,0,1,"Injury","At Intersection","No","No","Pedestrian",1,"GENESEE ST","South",NA,"","11031471",0.74,"Municipal","Straight and Level","Blacktop","Dry","Dark (Street Lights On/ continuous)","Clear","Painted Median","None",NA,"At","NULL","CAPNER ST","NULL","","NULL",25,25,0,0,"No","","597",426422.757283,498509.045374,NA,"DVRPC",1,"Moderate Injury",10091941,40.201901,-74.735479
3448513,"2010111110006596","10006596",2010,"MERCER","Trenton City","2010-04-30","Friday","April","16:21:00",1,"TRENTON PD","TRENTON",0,0,1,0,1,"Injury","At Intersection","No","No","Pedestrian",1,"S WARREN ST","South",NA,"","",NA,"Municipal","Straight and Level","Blacktop","Dry","Daylight","Clear","Painted Median","None",NA,"At","NULL","E STATE ST","NULL","","NULL",25,25,0,0,"No","","584",NA,NA,NA,"DVRPC",1,"Pain",10091953,40.2202963,-74.7658958
3448607,"2010111110007224","10007224",2010,"MERCER","Trenton City","2010-05-11","Tuesday","May","17:30:00",1,"TRENTON PD","EAST",0,0,1,0,1,"Injury","Not At Intersection","No","No","Right Angle",1,"KENT ST","East",NA,"","11111122",0.078,"Municipal","Straight and Level","Blacktop","Dry","Daylight","Clear","None","None",200,"Foot","NULL","ANDERSON ST","NULL","","NULL",25,25,0,0,"No","","596",423826.598812,503006.743207,NA,"DVRPC",1,"Pain",10102718,40.214258,-74.743908
3448629,"2010111110007401","10007401",2010,"MERCER","Trenton City","2010-05-14","Friday","May","18:48:00",1,"TRENTON PD","WEST",0,0,1,0,1,"Injury","Not At Intersection","No","No","Pedestrian",1,"CHASE ST","North",NA,"","11111041",0.019,"Municipal","Straight and Level","Blacktop","Wet","Dusk","Rain","None","None",100,"Foot","North","BRUNSWICK AVE","NULL","","NULL",25,25,0,0,"No","","608",420926.597161,509801.811469,NA,"DVRPC",1,"Pain",10103153,40.23264,-74.754678
3448654,"2010111110007538","10007538",2010,"MERCER","Trenton City","2010-05-17","Monday","May","10:00:00",1,"TRENTON PD","NORTH #4",0,0,0,0,0,"Property Damage","At Intersection","No","No","Pedestrian",1,"N CLINTON AVE","North",NA,"","11031969",3.9,"Municipal","Straight and Level","Blacktop","Dry","Daylight","Clear","None","None",NA,"At","NULL","MONMOUTH ST","NULL","","NULL",25,25,0,0,"No","","446",421163.035311,506546.055084,NA,"DVRPC",1,"PDO",10103182,40.2237504,-74.754164
3448668,"2010111110007608","10007608",2010,"MERCER","Trenton City","2010-05-18","Tuesday","May","17:25:00",1,"TRENTON PD","NORTH",0,0,0,0,0,"Property Damage","At Intersection","No","No","Pedestrian",1,"US 206","East",206,"","00000206",45.01,"State Highway","Straight and Level","Blacktop","Wet","Daylight","Rain","Painted Median","None",NA,"At","NULL","SOUTHARD ST","NULL","","NULL",25,25,0,0,"No","","596",424346.553529,514177.252108,NA,"DVRPC",1,"PDO",10101660,40.232128,-74.760626
3448676,"2010111110007665","10007665",2010,"MERCER","Trenton City","2010-05-19","Wednesday","May","18:47:00",1,"TRENTON PD","EAST",0,0,1,0,1,"Injury","Not At Intersection","No","No","Pedestrian",1,"CHESTNUT AVE","North",NA,"","11111537",0.56,"Municipal","NULL","NULL","NULL","NULL","NULL","NULL","NULL",75,"Foot","North","BUTLER ST","NULL","","NULL",25,25,0,0,"No","","596",422991.01,502987.03,NA,"DVRPC",1,"Pain",10101668,40.21406,-74.747556
3448687,"2010111110007742","10007742",2010,"MERCER","Trenton City","2010-05-21","Friday","May","01:28:00",1,"TRENTON PD","NORTH/PATROL",0,0,0,0,0,"Property Damage","At Intersection","No","No","Pedestrian",1,"MERCER COUNTY 653","South",653,"","11000653",0.15,"County","Straight and Level","Blacktop","Dry","Dark (No Street Lights)","Clear","None","None",NA,"At","NULL","PASSAIC ST","NULL","","NULL",25,25,0,0,"No","","603",415835.020019,506698.080026,NA,"DVRPC",1,"PDO",10101680,40.2241677,-74.7732498
3448752,"2010111110008328","10008328",2010,"MERCER","Trenton City","2010-05-30","Sunday","May","17:16:00",1,"TRENTON PD","NORTH",0,0,1,0,1,"Injury","At Intersection","No","No","Pedestrian",1,"SUMMER ST","North",NA,"","11111390",0.18,"Municipal","Straight and Level","Blacktop","Dry","Daylight","Clear","None","None",NA,"At","NULL","FOWLER ST","NULL","","NULL",25,25,0,0,"No","","541",417079.830058,506795.239915,NA,"DVRPC",1,"Pain",10126068,40.224474,-74.768758
3448804,"2010111110008602","10008602",2010,"MERCER","Trenton City","2010-06-04","Friday","June","08:28:00",1,"TRENTON PD","PATROL WEST",0,0,1,0,1,"Injury","At Intersection","No","No","Pedestrian",1,"MURRAY ST","South",NA,"","11111259",0.22,"County","Straight and Level","Blacktop","Dry","Daylight","Clear","None","None",NA,"At","NULL","BOUDINOT ST","NULL","","NULL",25,25,0,0,"No","","463",413510.720021,508383.156924,NA,"DVRPC",1,"Pain",10115864,40.228825,-74.781543
3448850,"2010111110008870","10008870",2010,"MERCER","Trenton City","2010-06-08","Tuesday","June","12:16:00",1,"TRENTON PD","PATROL/SOUTH",0,0,1,0,1,"Injury","At Intersection","No","No","Pedestrian",1,"MERCER COUNTY 650","NULL",650,"","11000650",NA,"County","Straight and Level","Blacktop","Dry","Daylight","Clear","None","None",NA,"At","NULL","CHESTNUT AVE","NULL","","NULL",25,25,0,0,"No","","499",NA,NA,NA,"DVRPC",1,"Pain",10115828,40.2102888,-74.746169
3448885,"2010111110009031","10009031",2010,"MERCER","Trenton City","2010-06-11","Friday","June","09:06:00",1,"TRENTON PD","NORTH",0,0,1,0,1,"Injury","Not At Intersection","No","No","Pedestrian",1,"BANK ST","East",NA,"","11111383",0.09,"Municipal","Straight and Level","Blacktop","Dry","Daylight","Clear","Painted Median","None",NA,"NULL","East","BARNES ST","NULL","","NULL",25,25,0,0,"No","","625",417531.47309,506248.93276,NA,"DVRPC",1,"Pain",10128405,40.222982,-74.767194
3448936,"2010111110009309","10009309",2010,"MERCER","Trenton City","2010-06-15","Tuesday","June","19:48:00",1,"TRENTON PD","PATROL SOUTH",0,0,1,0,1,"Injury","At Intersection","No","No","Pedalcyclist",1,"GENESEE ST","North",NA,"","11031471",1.05,"Municipal","Straight and Level","Blacktop","Dry","Daylight","Clear","None","None",NA,"At","NULL","DAYTON ST","NULL","","NULL",25,25,0,0,"No","","625",424968.119315,499295.045482,NA,"DVRPC",1,"Pain",10128340,40.204048,-74.740654
3448951,"2010111110009434","10009434",2010,"MERCER","Trenton City","2010-06-17","Thursday","June","22:05:00",1,"TRENTON PD","EAST",0,0,0,0,0,"Property Damage","At Intersection","No","No","Pedestrian",1,"PARK AVE","NULL",NA,"","11111098",0.14,"Municipal","Straight and Level","Blacktop","Dry","Dusk","Clear","None","None",NA,"At","NULL","CENTENNIAL AVE","NULL","","NULL",25,25,0,0,"No","","625",426759.104196,504162.397102,NA,"DVRPC",1,"PDO",10137548,40.217354,-74.734104
3449020,"2010111110009805","10009805",2010,"MERCER","Trenton City","2010-06-23","Wednesday","June","15:45:00",1,"TRENTON PD","PATROL WEST",0,0,1,0,1,"Injury","Not At Intersection","No","No","Pedalcyclist",1,"SANHICAN DR","North",NA,"","00000029",6.349,"Municipal","Curve and Level","Blacktop","Dry","Daylight","Clear","None","None",50,"Foot","North","MILL RD","NULL","","NULL",50,50,0,0,"No","","413",406590.552844,511861.256201,NA,"DVRPC",1,"Moderate Injury",10136263,40.2381934,-74.8060973
3449085,"2010111110010239","10010239",2010,"MERCER","Trenton City","2010-06-30","Wednesday","June","18:39:00",1,"TRENTON PD","WEST",0,0,1,0,1,"Injury","Not At Intersection","No","No","Pedestrian",1,"RUTHERFORD AVE","North",NA,"","11111255",0.375,"Municipal","Straight and Level","Blacktop","Dry","Daylight","Clear","None","None",25,"Foot","North","PROSPECT ST","NULL","","NULL",15,25,0,0,"No","","596",415433.821527,508700.601796,NA,"DVRPC",1,"Moderate Injury",10137529,40.2297804,-74.7748185
3449094,"2010111110010296","10010296",2010,"MERCER","Trenton City","2010-07-01","Thursday","July","21:57:00",1,"TRENTON PD","NORTH",0,0,1,0,1,"Injury","At Intersection","No","No","Pedestrian",1,"SOUTHARD ST","South",NA,"","11111558",0.32,"Municipal","Straight and Level","Blacktop","Dry","Dark (Street Lights On/ continuous)","Clear","Painted Median","None",NA,"At","NULL","OXFORD ST","NULL","","NULL",25,25,0,0,"No","","603",420105.8,508537.57,NA,"DVRPC",1,"Moderate Injury",10137520,40.229282,-74.757947
3449102,"2010111110010343","10010343",2010,"MERCER","Trenton City","2010-07-02","Friday","July","16:29:00",1,"TRENTON PD","PATROL-EAST",0,0,1,0,1,"Injury","At Intersection","No","No","Right Angle",3,"S CLINTON AVE","North",NA,"","11031969",2.74,"Municipal","Straight and Level","Blacktop","Dry","Daylight","Clear","Painted Median","None",NA,"At","NULL","ROEBLING AVE","NULL","","NULL",25,25,0,0,"No","","541",422409.34,500999.02,NA,"DVRPC",2,"Pain",10134418,40.208603,-74.749617
3449145,"2010111110010656","10010656",2010,"MERCER","Trenton City","2010-07-08","Thursday","July","16:00:00",1,"TRENTON PD","PATROL SAFE",0,0,1,0,1,"Injury","At Intersection","No","No","Pedestrian",1,"S WARREN ST","NULL",NA,"","",NA,"Municipal","Straight and Level","Blacktop","Dry","Daylight","Clear","None","None",NA,"At","NULL","W FRONT ST","NULL","","NULL",NA,NA,0,0,"No","","531",NA,NA,NA,"DVRPC",1,"Moderate Injury",10142407,40.219374,-74.766046
3449177,"2010111110010796","10010796",2010,"MERCER","Trenton City","2010-07-10","Saturday","July","20:36:00",1,"TRENTON PD","EAST",0,0,1,0,1,"Injury","At Intersection","No","No","Pedestrian",1,"FAIRMOUNT AVE","North",NA,"","11111443",0.33,"Municipal","Straight and Level","Blacktop","Dry","Dark (Street Lights On/ continuous)","Clear","None","None",NA,"At","NULL","SIDNEY ALY","NULL","","NULL",25,15,0,0,"No","","625",426196.045629,504500.677148,NA,"DVRPC",1,"Moderate Injury",10144250,40.2182886,-74.7361143
3449283,"2010111110011569","10011569",2010,"MERCER","Trenton City","2010-07-24","Saturday","July","03:18:00",1,"TRENTON PD","WEST/PATROL",0,0,1,0,1,"Injury","Not At Intersection","No","No","Pedestrian",1,"182 PENNINGTON AVE","NULL",NA,"","",NA,"Private Property","Straight and Level","Concrete","Dry","Dark (Street Lights On/ continuous)","Clear","None","None",NA,"NULL","NULL","CALHOUN ST","NULL","","NULL",5,NA,0,0,"No","","603",NA,NA,NA,"DVRPC",1,"Pain",10161139,40.2290447,-74.768528
3449320,"2010111110011860","10011860",2010,"MERCER","Trenton City","2010-07-29","Thursday","July","21:09:00",1,"TRENTON PD","PATROL",0,0,0,0,0,"Property Damage","At Intersection","No","No","Pedestrian",1,"BOUDINOT ST","North",NA,"","11111247",0.13,"Municipal","Straight and Level","Blacktop","Dry","Dark (Street Lights On/ continuous)","Clear","None","None",NA,"At","NULL","N HERMITAGE AVE","NULL","","NULL",25,25,0,0,"No","","603",412953.859963,508819.310014,NA,"DVRPC",1,"PDO",10165822,40.229998,-74.783571
3449343,"2010111110012003","10012003",2010,"MERCER","Trenton City","2010-08-01","Sunday","August","13:21:00",1,"TRENTON PD","NORTH",0,0,0,0,0,"Property Damage","Not At Intersection","No","No","Pedestrian",1,"N BROAD ST","NULL",NA,"","",NA,"Municipal","Straight and Level","Blacktop","Dry","Daylight","Clear","None","None",NA,"NULL","NULL","MONUMENT PL","NULL","","NULL",25,25,0,0,"No","","597",NA,NA,NA,"DVRPC",1,"PDO",10165845,40.225225,-74.764536
3449372,"2010111110012211","10012211",2010,"MERCER","Trenton City","2010-08-05","Thursday","August","13:59:00",1,"TRENTON PD","WEST",0,0,1,0,1,"Injury","At Intersection","No","No","Pedestrian",1,"ROUTE 579","NULL",579,"","00000579",0.04,"County","Straight and Level","Blacktop","Dry","Daylight","Clear","None","None",NA,"At","NULL","EDGEWOOD AVE","NULL","","NULL",25,25,40.23809,-74.80309,"No","","463",407513.03,511785.78,NA,"DVRPC",1,"Moderate Injury",10175100,40.2380906,-74.8031117
3449377,"2010111110012226","10012226",2010,"MERCER","Trenton City","2010-08-05","Thursday","August","18:14:00",1,"TRENTON PD","SOUTH",0,0,1,0,1,"Injury","Not At Intersection","No","No","Pedestrian",1,"802 CENTRE ST","NULL",NA,"","",NA,"Private Property","Straight and Level","Blacktop","Dry","Daylight","Clear","None","None",NA,"NULL","NULL","","NULL","","NULL",NA,NA,0,0,"No","","603",NA,NA,NA,"DVRPC",1,"Moderate Injury",10175105,40.1976586,-74.7562066
3449412,"2010111110012431","10012431",2010,"MERCER","Trenton City","2010-08-09","Monday","August","10:24:00",1,"TRENTON PD","TRENTON",0,0,0,0,0,"Property Damage","Not At Intersection","No","No","Pedestrian",1,"603 CASS ST","NULL",NA,"","",NA,"Private Property","Straight and Level","Blacktop","Dry","Daylight","Clear","Painted Median","None",NA,"NULL","NULL","","NULL","","NULL",NA,NA,0,0,"No","","597",NA,NA,NA,"DVRPC",1,"PDO",10174952,40.2057798,-74.7540377
3449447,"2010111110012689","10012689",2010,"MERCER","Trenton City","2010-08-13","Friday","August","22:03:00",1,"TRENTON PD","PATROL NORTH",0,0,0,0,0,"Property Damage","Not At Intersection","No","No","Fixed Object",1,"406 BRUNSWICK AVE","NULL",NA,"","",NA,"Private Property","Straight and Level","Blacktop","Dry","Dark (Street Lights On/ continuous)","Clear","None","None",NA,"NULL","NULL","SOUTHARD STREET","NULL","","NULL",NA,NA,0,0,"No","NADEEM-SHAIKH GAS PUMP 406 BRUNSWICK AVE TRENTON NJ 08618","436",NA,NA,NA,"DVRPC",1,"PDO",10177733,40.2298088,-74.7584573
3449486,"2010111110012952","10012952",2010,"MERCER","Trenton City","2010-08-19","Thursday","August","08:08:00",1,"TRENTON PD","PATROL/EAST",0,0,1,0,1,"Injury","Not At Intersection","No","No","Backing",1,"S CLINTON AVE","NULL",NA,"","11031969",3.62,"Municipal","Straight and Level","Blacktop","Dry","Daylight","Clear","None","None",50,"Foot","NULL","YARD AVE","NULL","","NULL",25,15,40.21995,-74.75521,"No","","498",420859.768089,505138.081403,NA,"DVRPC",1,"Pain",10185666,40.2199567,-74.7551997
3449496,"2010111110013045","10013045",2010,"MERCER","Trenton City","2010-08-20","Friday","August","18:49:00",1,"TRENTON PD","WEST",0,0,1,0,1,"Injury","Not At Intersection","No","No","Pedestrian",1,"GENERAL GREENE AVE","North",NA,"","11111249",0,"Municipal","Straight and Level","Blacktop","Dry","Daylight","Clear","None","None",50,"Foot","West","RIVERSIDE AVE","NULL","","NULL",25,25,0,0,"No","","585",412392.66,507688.38,NA,"DVRPC",1,"Pain",10185677,40.226887,-74.78556
3449537,"2010111110013285","10013285",2010,"MERCER","Trenton City","2010-08-25","Wednesday","August","17:35:00",1,"TRENTON PD","EAST",0,0,1,0,1,"Injury","Not At Intersection","No","No","Pedestrian",1,"LIBERTY ST","West",NA,"","11112004",0.7,"Municipal","Straight and Level","Blacktop","Dry","Daylight","Clear","None","None",NA,"NULL","NULL","BROWN ST","NULL","","NULL",25,25,0,0,"No","","596",425273.11389,500633.725555,NA,"DVRPC",1,"Pain",10195726,40.207733,-74.739269
3449538,"2010111110013287","10013287",2010,"MERCER","Trenton City","2010-08-25","Wednesday","August","18:21:00",1,"TRENTON PD","WEST",0,0,0,0,0,"Property Damage","At Intersection","No","No","Pedestrian",1,"EISENHOWER AVE","North",NA,"","11111342",0,"Municipal","Straight and Level","Blacktop","Dry","Daylight","Overcast","None","None",NA,"At","NULL","HOFFMAN AVE","NULL","","NULL",25,25,0,0,"No","","596",414745.000082,511747.939983,NA,"DVRPC",1,"PDO",10195727,40.238041,-74.777186
3449591,"2010111110013656","10013656",2010,"MERCER","Trenton City","2010-09-01","Wednesday","September","10:07:00",1,"TRENTON PD","PATROL-SOUTH",0,0,1,0,1,"Injury","Not At Intersection","No","No","Pedestrian",1,"US 206","North",206,"","00000206",NA,"State Highway","Straight and Level","Blacktop","Dry","Daylight","Clear","None","None",30,"Foot","South","MARKET ST","NULL","","NULL",25,25,0,0,"No","","164",NA,NA,NA,"DVRPC",1,"Pain",10195653,40.2157635,-74.7620464
